estado,sigla,ano,populacao,vacinados,cobertura_percentual
São Paulo,SP,2022,46649132,35000000,75.0
Minas Gerais,MG,2022,21411923,15000000,70.1
Rio de Janeiro,RJ,2022,17463349,12000000,68.7
Bahia,BA,2022,14985284,9000000,60.0
Paraná,PR,2022,11597484,9000000,77.6
Rio Grande do Sul,RS,2022,11422973,8800000,77.0
Pernambuco,PE,2022,9674793,6500000,67.2
Ceará,CE,2022,9240580,7000000,75.7
Pará,PA,2022,8777124,5000000,56.9
Santa Catarina,SC,2022,7338473,6000000,81.8
Goiás,GO,2022,7206589,5200000,72.1
Maranhão,MA,2022,7153262,4000000,55.9
Amazonas,AM,2022,4269995,2500000,58.5
Espírito Santo,ES,2022,4108508,3200000,77.9
Paraíba,PB,2022,4039277,3000000,74.3
Rio Grande do Norte,RN,2022,3560903,2600000,73.0
Mato Grosso,MT,2022,3658813,2600000,71.1
Alagoas,AL,2022,3351543,2300000,68.6
Piauí,PI,2022,3289290,2400000,73.0
Distrito Federal,DF,2022,3094325,2500000,80.8
Mato Grosso do Sul,MS,2022,2839188,2100000,74.0
Sergipe,SE,2022,2338474,1700000,72.7
Rondônia,RO,2022,1815278,1300000,71.6
Tocantins,TO,2022,1607363,1100000,68.4
Acre,AC,2022,906876,600000,66.2
Amapá,AP,2022,877613,550000,62.7
Roraima,RR,2022,652713,400000,61.3
